source_key,title,url,date,type,via
wiki-09676-3,Nghị quyết số 1656/NQ-UBTVQH15 ngày 16 tháng 6 năm 2025 của Ủy ban Thường vụ Quốc hội về việc sắp xếp các đơn vị hành chính cấp xã của thành phố Hà Nội năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/6/1656-nq.signed.pdf,2026-06-30,wikipedia-ref,
wiki-09694-1,Nghị quyết số 1656/NQ-UBTVQH15 ngày 16 tháng 6 năm 2025 của Ủy ban Thường vụ Quốc hội về việc sắp xếp các đơn vị hành chính cấp xã của thành phố Hà Nội năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/6/1656-nq.signed.pdf,2026-05-13,wikipedia-ref,
wiki-09694-2,"Danh sách chính thức người ứng cử đại biểu Hội đồng nhân dân xã Suối Hai nhiệm kỳ 2026 – 2031 (theo Quyết định số 26/QĐ-UBBC, ngày 23/02/2026 của Ủy ban bầu cử xã Suối Hai)",https://www.facebook.com/story.php?story_fbid=1318213100339348&id=100064520119493&rdid=VgfXEBlUte8DPPkF#,2026-02-25,wikipedia-ref,
wiki-09694-3,"Danh sách Thôn vùng đồng bào dân tộc thiểu số và miền núi, thôn đặc biệt khó khăn giai đoạn 2026 – 2030 trên địa bàn thành phố Hà Nội (Kèm theo Quyết định số 104/QĐ-BDTTG ngày 27 tháng 02 năm 2026 của Bộ trưởng Bộ Dân tộc và Tôn giáo)",http://files.ubdt.gov.vn/files/ecm/source_files/2026/03/09/11023866_2.%20H%C3%A0%20N%E1%BB%99i%20(th%C3%B4n).signed_26-03-09.pdf,2026-08-12,wikipedia-ref,
wiki-09700-1,"Hội đồng nhân dân xã Ba Vì tổ chức Kỳ họp thứ Hai khóa XXII, nhiệm kỳ 2026 – 2031",https://bavi.hanoi.gov.vn/tin-tuc-su-kien/hoi-dong-nhan-dan-xa-ba-vi-to-chuc-ky-hop-thu-hai-khoa-xxii-nhiem-ky-2026-2031-2756260630102852165.htm?gidzl=LGeMB5UjBmPH5H8gNROg25mN4o96jYnRInCHS4goU5j64H5o4B0a21r7IoGRud087qD4SZ0qbWmRKgmh10,2026-06-30,wikipedia-ref,
wiki-09700-2,"Danh sách chính thức những người ứng cử đại biểu Hội đồng nhân dân xã Ba Vì khóa XXII, nhiệm kỳ 2026 – 2031",https://bavi.hanoi.gov.vn/tin-tuc-su-kien/danh-sach-chinh-thuc-nhung-nguoi-ung-cu-dai-bieu-hdnd-xa-ba-vi-khoa-xxii-nhiem-ky-2026-2031-2756260226172743238.htm?gidzl=s4lXUF-NoJdSLEL-zOpCDz5MvN7kZCjZnbBd8-A8dsFBKESXk8h3C906lNUps9SmaWAo8J0HxHrm-fRDEm,2026-02-26,wikipedia-ref,
wiki-09700-3,Nghị quyết số 1656/NQ-UBTVQH15 ngày 16 tháng 6 năm 2025 của Ủy ban Thường vụ Quốc hội về việc sắp xếp các đơn vị hành chính cấp xã của thành phố Hà Nội năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/6/1656-nq.signed.pdf,2026-06-30,wikipedia-ref,
wiki-09706-1,Nghị quyết số 1656/NQ-UBTVQH15 ngày 16 tháng 6 năm 2025 của Ủy ban Thường vụ Quốc hội về việc sắp xếp các đơn vị hành chính cấp xã của thành phố Hà Nội năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/6/1656-nq.signed.pdf,2026-06-30,wikipedia-ref,
wiki-09706-2,"Hội đồng nhân dân xã Yên Bài tổ chức thành công Kỳ họp thường lệ giữa năm 2026 (Kỳ họp thứ Ba), khóa XXII, nhiệm kỳ 2026 – 2031",https://web.facebook.com/story.php?story_fbid=1023491040263872&id=100078089572480&rdid=fJr99rs13Raqw9Jg#,2026-06-24,wikipedia-ref,
wiki-09706-3,"Danh sách Thôn vùng đồng bào dân tộc thiểu số và miền núi, thôn đặc biệt khó khăn giai đoạn 2026 – 2030 trên địa bàn thành phố Hà Nội (Kèm theo Quyết định số 104/QĐ-BDTTG ngày 27 tháng 02 năm 2026 của Bộ trưởng Bộ Dân tộc và Tôn giáo)",http://files.ubdt.gov.vn/files/ecm/source_files/2026/03/09/11023866_2.%20H%C3%A0%20N%E1%BB%99i%20(th%C3%B4n).signed_26-03-09.pdf,2026-08-12,wikipedia-ref,
wiki-09715-1,"Nghị quyết số 11/NQ-HĐND ngày 26 tháng 6 năm 2026 của Hội đồng nhân dân xã Phúc Thọ về việc sắp xếp, đổi tên thôn trên địa bàn xã Phúc Thọ",https://datafiles.hanoi.gov.vn/gov-hni/7529/VanBan/2026/6/30/NQ%20%C4%91%E1%BB%95i%20t%C3%AAn%20th%C3%B4n%20s%E1%BB%91%2011.pdf,2026-07-27,wikipedia-ref,
